"Patch","Pred","Spp","PredSize","PreySize"
"AA1","Nucella_ostrina","Balanus_glandula",12,3
"AA1","Nucella_ostrina","Balanus_glandula",11,4
"AA1","Nucella_ostrina","Balanus_glandula",17,3
"AA1","Nucella_ostrina","Balanus_glandula",12,5
"AA1","Nucella_ostrina","Balanus_glandula",11,4
"AA1","Nucella_ostrina","Balanus_glandula",15,4
"AA1","Nucella_ostrina","Balanus_glandula",17,2
"AA1","Nucella_ostrina","Balanus_glandula",12,1
"AA1","Nucella_ostrina","Balanus_glandula",13,2
"AA1","Nucella_ostrina","Balanus_glandula",13,5
"AA1","Nucella_ostrina","Mytilus_trossulus",13,4
"AA1","Nucella_ostrina","Mytilus_trossulus",10,6
"AA1","Nucella_ostrina","Mytilus_trossulus",16,5
"AA1","Nucella_ostrina","Mytilus_trossulus",13,28
"AA1","Nucella_ostrina","Mytilus_trossulus",11,5
"AA1","Nucella_ostrina","Mytilus_trossulus",13,13
"AA1","Nucella_ostrina","Mytilus_trossulus",11,3
"AA1","Nucella_ostrina","Mytilus_trossulus",15,22
"AA1","Nucella_ostrina","Mytilus_trossulus",10,2
"AA1","Nucella_ostrina","Mytilus_trossulus",14,20
"AA1","Nucella_ostrina","Mytilus_trossulus",13,21
"AA1","Nucella_ostrina","Mytilus_trossulus",13,6
"AA1","Nucella_ostrina","Mytilus_trossulus",7,3
"AA1","Nucella_ostrina","Mytilus_trossulus",16,12
"AA1","Nucella_ostrina","Mytilus_trossulus",12,4
"AA1","Nucella_ostrina","Mytilus_trossulus",19,14
"AA1","Nucella_ostrina","Mytilus_trossulus",16,9
"AA1","Nucella_ostrina","Mytilus_trossulus",13,11
"AA1","Nucella_ostrina","Mytilus_trossulus",11,19
"AA1","Nucella_ostrina","Mytilus_trossulus",10,16
"AA1","Nucella_ostrina","Mytilus_trossulus",21,17
"AA1","Nucella_ostrina","Mytilus_trossulus",15,16
"AA1","Nucella_ostrina","Mytilus_trossulus",13,17
"AA1","Nucella_ostrina","Mytilus_trossulus",9,7
"AA1","Nucella_ostrina","Mytilus_trossulus",16,23
"AA1","Nucella_ostrina","Mytilus_trossulus",14,14
"AA1","Nucella_ostrina","Mytilus_trossulus",18,13
"AA1","Nucella_ostrina","Mytilus_trossulus",9,2
"AA1","Nucella_ostrina","Mytilus_trossulus",8,2
"AA1","Nucella_ostrina","Mytilus_trossulus",16,31
"AA1","Nucella_ostrina","Mytilus_trossulus",15,18
"AA1","Nucella_ostrina","Mytilus_trossulus",11,3
"AA1","Nucella_ostrina","Mytilus_trossulus",16,7
"AA1","Nucella_ostrina","Mytilus_trossulus",13,20
"AA1","Nucella_ostrina","Mytilus_trossulus",14,18
"AA1","Nucella_ostrina","Mytilus_trossulus",17,12
"AA1","Nucella_ostrina","Mytilus_trossulus",12,7
"AA1","Nucella_ostrina","Mytilus_trossulus",9,3
"AA1","Nucella_ostrina","Mytilus_trossulus",17,4
"AA1","Nucella_ostrina","Mytilus_trossulus",13,4
"AA1","Nucella_ostrina","Mytilus_trossulus",15,7
"AA1","Nucella_ostrina","Mytilus_trossulus",12,22
"AA1","Nucella_ostrina","Mytilus_trossulus",11,7
"AA1","Nucella_ostrina","Mytilus_trossulus",10,4
"AA1","Nucella_ostrina","Mytilus_trossulus",16,6
"AA1","Nucella_ostrina","Mytilus_trossulus",14,19
"AA1","Nucella_ostrina","Mytilus_trossulus",13,15
"AA1","Nucella_ostrina","Mytilus_trossulus",10,6
"AA1","Nucella_ostrina","Mytilus_trossulus",15,11
"AA1","Nucella_ostrina","Mytilus_trossulus",16,14
"AA1","Nucella_ostrina","Mytilus_trossulus",11,3
"AA1","Nucella_ostrina","Mytilus_trossulus",13,20
"AA1","Nucella_ostrina","Mytilus_trossulus",13,5
"AA1","Nucella_ostrina","Mytilus_trossulus",11,3
"AA1","Nucella_ostrina","Mytilus_trossulus",15,3
"AA1","Nucella_ostrina","Mytilus_trossulus",11,6
"AA1","Nucella_ostrina","Mytilus_trossulus",14,3
"AA1","Nucella_ostrina","Mytilus_trossulus",16,16
"AA1","Nucella_ostrina","Mytilus_trossulus",13,13
"AA1","Nucella_ostrina","Mytilus_trossulus",13,17
"AA1","Nucella_ostrina","Mytilus_trossulus",11,5
"AA1","Nucella_ostrina","Mytilus_trossulus",11,4
"AA1","Nucella_ostrina","Mytilus_trossulus",15,7
"AA1","Nucella_ostrina","Mytilus_trossulus",15,18
"AA1","Nucella_ostrina","Mytilus_trossulus",14,29
"AA1","Nucella_ostrina","Mytilus_trossulus",11,5
"AA1","Nucella_ostrina","Mytilus_trossulus",14,20
"AA1","Nucella_ostrina","Mytilus_trossulus",14,18
"AA1","Nucella_ostrina","Mytilus_trossulus",17,10
"AA1","Nucella_ostrina","Mytilus_trossulus",14,5
"AA1","Nucella_ostrina","Mytilus_trossulus",12,6
"AA1","Nucella_ostrina","Mytilus_trossulus",18,21
"AA1","Nucella_ostrina","Mytilus_trossulus",10,6
"AA1","Nucella_ostrina","Mytilus_trossulus",10,3
"AA1","Nucella_ostrina","Mytilus_trossulus",15,4
"AA1","Nucella_ostrina","Mytilus_trossulus",16,27
"AA1","Nucella_ostrina","Mytilus_trossulus",11,6
"AA1","Nucella_ostrina","Semibalanus_cariosus",14,2
"AA1","Nucella_ostrina","Semibalanus_cariosus",13,7
"AA1","Nucella_ostrina","Semibalanus_cariosus",11,5
"AA1","Nucella_ostrina","Semibalanus_cariosus",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",14,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",12,1
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",15,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",16,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,1
"AA1","Nucella_ostrina","Chthamalus_dalli",14,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",8,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",14,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,1
"AA1","Nucella_ostrina","Chthamalus_dalli",14,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",14,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",14,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",14,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",15,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",8,1
"AA1","Nucella_ostrina","Chthamalus_dalli",16,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",9,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,2
"AA1","Nucella_ostrina","Chthamalus_dalli",8,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,1
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",8,2
"AA1","Nucella_ostrina","Chthamalus_dalli",7,1
"AA1","Nucella_ostrina","Chthamalus_dalli",10,2
"AA1","Nucella_ostrina","Chthamalus_dalli",13,2
"AA1","Nucella_ostrina","Chthamalus_dalli",12,2
"AA1","Nucella_ostrina","Chthamalus_dalli",11,1
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",22,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",5,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",18,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",19,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",19,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",20,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",7,0
"AA1","Nucella_ostrina","Not_Feeding",7,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",7,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",17,0
"AA1","Nucella_ostrina","Not_Feeding",19,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",16,0
"AA1","Nucella_ostrina","Not_Feeding",8,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",13,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",12,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",15,0
"AA1","Nucella_ostrina","Not_Feeding",9,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",14,0
"AA1","Nucella_ostrina","Not_Feeding",11,0
"AA1","Nucella_ostrina","Not_Feeding",10,0
