Site,Year,Season,SurveyType,TideZone,Transect,Quad,Species,Density
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,0
CapeFoulwind,2006,Summer,Quads_All_species,High,2,2,Aulacomya atra maoriana,0
CapeFoulwind,2006,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
CapeFoulwind,2005,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,6.364
JacksonHead,2006,Summer,Quads_All_species,High,2,4,Aulacomya atra maoriana,6.364
JacksonHead,2006,Summer,Quads_All_species,High,2,1,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,31.82
JacksonHead,2006,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,6.364
JacksonHead,2006,Summer,Quads_All_species,High,1,4,Aulacomya atra maoriana,190.92
JacksonHead,2006,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,31.82
JacksonHead,2006,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,6.364
JacksonHead,2006,Summer,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,6.364
JacksonHead,2006,Summer,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,6.364
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,63.64
JacksonHead,2006,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,2,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,4,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,1,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,4,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,4,1,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,4,5,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,4,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,5,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,High,2,2,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,3,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,4,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,4,2,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,4,4,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,High,4,3,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
JacksonHead,2006,Summer,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
JacksonHead,2006,Winter,Quads_Large_&_Rare_species_only,Mid,4,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Summer,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Summer,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Summer,Quads_All_species,High,1,1,Aulacomya atra maoriana,205.92
OkahuPoint,2006,Summer,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Summer,Quads_All_species,High,2,2,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Summer,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,10.296
OkahuPoint,2006,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,4,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,4,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,4,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,1,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,4,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,4,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,4,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,4,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,4,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,1,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,High,2,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,4,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,4,1,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,0
OkahuPoint,2006,Summer,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
OkahuPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,4,1,Aulacomya atra maoriana,0
PaiaPoint,2006,Summer,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,108.4
PaiaPoint,2005,Winter,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,54.2
PaiaPoint,2005,Winter,Quads_All_species,Mid,2,3,Aulacomya atra maoriana,54.2
PaiaPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,4,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,108.4
PaiaPoint,2006,Summer,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,108.4
PaiaPoint,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,108.4
PaiaPoint,2005,Winter,Quads_Large_&_Rare_species_only,High,3,4,Aulacomya atra maoriana,325.2
PaiaPoint,2005,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,108.4
PaiaPoint,2006,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,216.8
PaiaPoint,2005,Winter,Quads_All_species,Mid,2,1,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Winter,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Summer,Quads_All_species,High,1,2,Aulacomya atra maoriana,325.2
PaiaPoint,2006,Winter,Quads_All_species,High,1,3,Aulacomya atra maoriana,54.2
PaiaPoint,2005,Winter,Quads_Large_&_Rare_species_only,High,3,3,Aulacomya atra maoriana,54.2
PaiaPoint,2006,Summer,Quads_Large_&_Rare_species_only,Mid,3,2,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Summer,Quads_All_species,High,2,1,Aulacomya atra maoriana,10.84
PaiaPoint,2005,Winter,Quads_Large_&_Rare_species_only,Mid,3,5,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Summer,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,216.8
PaiaPoint,2006,Summer,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,10.84
PaiaPoint,2006,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,54.2
PaiaPoint,2006,Summer,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,216.8
PaiaPoint,2006,Winter,Quads_All_species,High,2,2,Aulacomya atra maoriana,10.84
PaiaPoint,2005,Winter,Quads_All_species,High,1,5,Aulacomya atra maoriana,10.84
PaiaPoint,2005,Winter,Quads_All_species,Mid,2,5,Aulacomya atra maoriana,10.84
PaiaPoint,2005,Winter,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
PaiaPoint,2006,Summer,Quads_All_species,High,1,4,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_All_species,High,2,3,Aulacomya atra maoriana,0
PaiaPoint,2005,Winter,Quads_Large_&_Rare_species_only,High,3,5,Aulacomya atra maoriana,0
PaiaPoint,2006,Summer,Quads_All_species,High,1,5,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,1,Aulacomya atra maoriana,0
PaiaPoint,2006,Summer,Quads_All_species,High,1,1,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_All_species,High,2,1,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_All_species,Mid,2,2,Aulacomya atra maoriana,0
PaiaPoint,2005,Winter,Quads_All_species,Mid,1,2,Aulacomya atra maoriana,0
PaiaPoint,2005,Winter,Quads_All_species,Mid,1,4,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_Large_&_Rare_species_only,High,3,2,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_All_species,Mid,1,5,Aulacomya atra maoriana,0
PaiaPoint,2006,Summer,Quads_All_species,Mid,1,3,Aulacomya atra maoriana,0
PaiaPoint,2006,Winter,Quads_All_species,High,2,5,Aulacomya atra maoriana,0
PaiaPoint,2005,Winter,Quads_All_species,Mid,2,4,Aulacomya atra maoriana,0
PaiaPoint,2005,Winter,Quads_All_species,Mid,1,1,Aulacomya atra maoriana,0
