published_data.originalid,published_data.originaltraitname,published_data.originaltraitdef,published_data.standardisedtraitname,published_data.standardisedtraitdef,published_data.originaltraitvalue,published_data.originaltraitunit,published_data.originalerrorpos,published_data.originalerrorneg,published_data.originalerrorunit,published_data.standardisedtraitvalue,published_data.standardisedtraitunit,published_data.standardisederrorpos,published_data.standardisederrorneg,published_data.standardisederrorunit,published_data.replicates,published_data.habitat,published_data.labfield,published_data.arenavalue,published_data.arenaunit,published_data.arenavaluesi,published_data.arenaunitsi,published_data.ambienttemp,published_data.ambienttempmethod,published_data.ambienttempunit,published_data.ambientlight,published_data.ambientlightunit,published_data.secondstressor,published_data.secondstressordef,published_data.secondstressorvalue,published_data.secondstressorunit,published_data.timestart,published_data.timeend,published_data.totalobstimevalue,published_data.totalobstimeunit,published_data.totalobstimevaluesi,published_data.totalobstimeunitsi,published_data.totalobstimenotes,published_data.resrepvalue,published_data.resrepunit,published_data.resrepvaluesi,published_data.resrepunitsi,published_data.locationtext,published_data.locationtype,published_data.originallocationdate,published_data.locationdate,published_data.locationdateprecision,published_data.coordinatetype,published_data.latitude,published_data.longitude,published_data.interactor1,published_data.interactor1common,published_data.interactor1wholepart,published_data.interactor1wholeparttype,published_data.interactor1number,published_data.interactor1kingdom,published_data.interactor1phylum,published_data.interactor1class,published_data.interactor1order,published_data.interactor1family,published_data.interactor1genus,published_data.interactor1species,published_data.interactor1stage,published_data.interactor1temp,published_data.interactor1tempunit,published_data.interactor1tempmethod,published_data.interactor1growthtemp,published_data.interactor1growthtempunit,published_data.interactor1growthdur,published_data.interactor1growthdurunit,published_data.interactor1growthtype,published_data.interactor1acc,published_data.interactor1acctemp,published_data.interactor1acctempnotes,published_data.interactor1acctime,published_data.interactor1acctimenotes,published_data.interactor1acctimeunit,published_data.interactor1origtemp,published_data.interactor1origtempnotes,published_data.interactor1origtime,published_data.interactor1origtimenotes,published_data.interactor1origtimeunit,published_data.interactor1equilibtimevalue,published_data.interactor1equilibtimeunit,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1denvalue,published_data.interactor1denunit,published_data.interactor1dentypesi,published_data.interactor1denvaluesi,published_data.interactor1denunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2common,published_data.interactor2kingdom,published_data.interactor2phylum,published_data.interactor2class,published_data.interactor2order,published_data.interactor2family,published_data.interactor2genus,published_data.interactor2species,published_data.interactor2stage,published_data.interactor2temp,published_data.interactor2tempunit,published_data.interactor2tempmethod,published_data.interactor2growthtemp,published_data.interactor2growthtempunit,published_data.interactor2growthdur,published_data.interactor2growthdurunit,published_data.interactor2growthtype,published_data.interactor2acc,published_data.interactor2acctemp,published_data.interactor2acctempnotes,published_data.interactor2acctime,published_data.interactor2acctimenotes,published_data.interactor2acctimeunit,published_data.interactor2origtemp,published_data.interactor2origtempnotes,published_data.interactor2origtime,published_data.interactor2origtimenotes,published_data.interactor2origtimeunit,published_data.interactor2equilibtimevalue,published_data.interactor2equilibtimeunit,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2denvalue,published_data.interactor2denunit,published_data.interactor2dentypesi,published_data.interactor2denvaluesi,published_data.interactor2denunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,published_data.physicalprocess,published_data.physicalprocess_1,published_data.physicalprocess_2,published_data.figuretable,published_data.citation,published_data.doi,published_data.submittedby,published_data.contributoremail,published_data.notes
MTD539,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,0.1927711,proportion / 1 individual,,,,0.1927711,proportion / individual,,,,21,terrestrial,field,,,,,44,direct,celsius,,,,,,,,,21,day,1814400,second,,,not stated,,,"Isla Santa Fe, Galapagos Islands, Ecuador",,,,0,,-0.813,-90.066,Buteo galapagoensis,galapagos hawk,,,,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,galapagoensis,adult,37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,1.126,kilogram,6,individual per arena (1),individual,6,arena,1.126,kilogram (wet body mass),Conolophus pallidus,galapagos land iguana,Metazoa,Chordata,Reptilia,Squamata,Iguanidae,Conolophus,pallidus,hatchling,44,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,0.04,kilogram,wet body mass (mean),0.04,kilogram,,,,,,0.04,kilogram (wet body mass),event density rate,interaction,ecological event,Table 3,"Christian K.A. & R. Tracy. 1981. The effect of the thermal environment on the ability of hatchling Galapagos land iguanas to avoid predation during dispersal. Oecologia 49, 218-223.",http://dx.doi.org/10.1007/BF00349191,Biotraits,null@null.invalid,
MTD544,Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),16,second / 1 individual,,,,16,second / individual,,,,17,terrestrial,field,,,,,2.5,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (female),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,2.5,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 2,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD544,Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),14.4,second / 1 individual,,,,14.4,second / individual,,,,17,terrestrial,field,,,,,8,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (female),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,8,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 2,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD545,Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),13.65,second / 1 individual,,,,13.65,second / individual,,,,20,terrestrial,field,,,,,2.5,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (male),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,2.5,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 2,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD545,Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),19.97,second / 1 individual,,,,19.97,second / individual,,,,20,terrestrial,field,,,,,8,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (male),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,8,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 2,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD546,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,31.8,second / 1 individual,,,,31.8,second / individual,,,,17,terrestrial,field,,,,,2.5,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (female),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,2.5,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 3,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD546,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,30,second / 1 individual,,,,30,second / individual,,,,17,terrestrial,field,,,,,8,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (female),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,8,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 3,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD547,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,26.31,second / 1 individual,,,,26.31,second / individual,,,,20,terrestrial,field,,,,,2.5,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (male),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,2.5,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 3,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD547,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,70.83,second / 1 individual,,,,70.83,second / individual,,,,20,terrestrial,field,,,,,8,direct,celsius,,,,,,,,,860,minute,51600,second,,,not stated,,,"East Sussex, UK",,,,0,,50.931,0.28,Erithacus rubecula,robin,,,,Metazoa,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,rubecula,adult (male),37,celsius,inferred (endotherm),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,,0.01745,kilogram,,not stated,,,,0.01745,kilogram (wet body mass),"invertebrates, soft fruit, seed","invertebrates, soft fruit, seed",,,,,,,,,8,celsius,inferred (ambient),,,,,,field collected (at test temperature),,,,,,,,,,,,,,,not stated,,,,,,,,,,event density rate,interaction,ecological event,Table 3,"East M. 1980. Sex differences and the effect of temperature on the foraging behaviour of Robins Erithacus rubecula. IBIS 122(4), 517-520.",http://dx.doi.org/10.1111/j.1474-919x.1980.tb00909.x,Biotraits,null@null.invalid,
MTD558,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,92.6808,percent / 1 individual,4.9331,11.3751,,0.926808,proportion / individual,0.049331,0.113751,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,8,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Clupea harengus,atlantic herring,,,,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,8,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.118,meter,body length (mean),0.0131170572,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0131170572,kilogram (wet body mass),Clupea harengus,atlantic herring,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,8,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,4493000,38-66 days,second,,,,,,,,0.0195,meter,body length (mean),0.0000152816788375701,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000152816788375701,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD558,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,80.8402,percent / 1 individual,9.831,15.095,,0.808402,proportion / individual,0.09831,0.15095,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,13,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Clupea harengus,atlantic herring,,,,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,13,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.118,meter,body length (mean),0.0131170572,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0131170572,kilogram (wet body mass),Clupea harengus,atlantic herring,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,13,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,4493000,38-66 days,second,,,,,,,,0.0195,meter,body length (mean),0.0000152816788375701,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000152816788375701,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD559,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,88.3908,percent / 1 individual,8.0458,17.319,,0.883908,proportion / individual,0.080458,0.17319,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,8,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Clupea harengus,atlantic herring,,,,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,8,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.118,meter,body length (mean),0.0131170572,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0131170572,kilogram (wet body mass),Pleuronectes platessa,european plaice,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,juvenile,8,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,2419000,9-47 days,second,,,,,,,,0.00925,meter,body length (mean),0.0000045491227868764,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000045491227868764,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD559,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,79.3868,percent / 1 individual,10.5186,17.4164,,0.793868,proportion / individual,0.105186,0.174164,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,13,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Clupea harengus,atlantic herring,,,,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,13,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.118,meter,body length (mean),0.0131170572,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0131170572,kilogram (wet body mass),Pleuronectes platessa,european plaice,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,juvenile,13,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,2419000,9-47 days,second,,,,,,,,0.00925,meter,body length (mean),0.0000045491227868764,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000045491227868764,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD560,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,89.3169,percent / 1 individual,5.5821,9.8632,,0.893169,proportion / individual,0.055821,0.098632,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,8,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Gadus morhua,atlantic cod,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,juvenile,8,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.1275,meter,body length (mean),0.0181052437,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0181052437,kilogram (wet body mass),Clupea harengus,atlantic herring,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,8,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,4493000,38-66 days,second,,,,,,,,0.0195,meter,body length (mean),0.0000152816788375701,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000152816788375701,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD560,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,93.0863,percent / 1 individual,4.0885,8.6294,,0.930863,proportion / individual,0.040885,0.086294,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,13,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Gadus morhua,atlantic cod,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,juvenile,13,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.1275,meter,body length (mean),0.0181052437,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0181052437,kilogram (wet body mass),Clupea harengus,atlantic herring,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,juvenile,13,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,4493000,38-66 days,second,,,,,,,,0.0195,meter,body length (mean),0.0000152816788375701,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.0000152816788375701,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD561,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,95.707,percent / 1 individual,4.0053,13.6665,,0.95707,proportion / individual,0.040053,0.136665,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,8,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Gadus morhua,atlantic cod,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,juvenile,8,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.1275,meter,body length (mean),0.0181052437,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0181052437,kilogram (wet body mass),Pleuronectes platessa,european plaice,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,juvenile,8,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,2419000,9-47 days,second,,,,,,,,0.00935,meter,body length (mean),0.00000471787567752487,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.00000471787567752487,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
MTD561,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,96.3527,percent / 1 individual,3.2182,12.8503,,0.963527,proportion / individual,0.032182,0.128503,95% CI,30,marine,lab,0.090729,cubic metre,0.090729,cubic metre,13,direct,celsius,,,,,,,,,75,second,75,second,,,not replaced,,not replaced,"Dunstaffnage Bay, Scotland",,,,0,,56.44,-5.454,Gadus morhua,atlantic cod,,,,Metazoa,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,morhua,juvenile,13,celsius,inferred (ambient),,,,,,field collected,10.7,8.2-13.2C,23670000,9 month,second,,,,,,,,0.1275,meter,body length (mean),0.0181052437,kilogram,2,individual per arena (1),individual,22.0436685073,cubic meter,0.0181052437,kilogram (wet body mass),Pleuronectes platessa,european plaice,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,juvenile,13,celsius,inferred (ambient),,,,,,captive bred (at acclimation temperature),10.7,8.2-13.2C,2419000,9-47 days,second,,,,,,,,0.00935,meter,body length (mean),0.00000471787567752487,kilogram,17.5,individual per arena (1),individual,192.882099439,cubic meter,0.00000471787567752487,kilogram (wet body mass),event density rate,interaction,ecological event,Fig 1,"Fuiman L. A. & R.S. Batty. 1994. Susceptibility of Atlantic herring and plaice larvae to predation by juvenile cod and herring at two constant temperatures. Journal of Fish Biology 44, 23-34.",http://dx.doi.org/10.1111/j.1095-8649.1994.tb01582.x,Biotraits,null@null.invalid,
