experimental.temperature,eaten.prey,initial.prey,predator.number,setting,treatment
3.8,2,3,1,laboratory,Potamophylax_cingulatus
3.8,1,4,1,laboratory,Potamophylax_cingulatus
3.8,3,8,1,laboratory,Potamophylax_cingulatus
3.8,7,16,1,laboratory,Potamophylax_cingulatus
3.8,11,32,1,laboratory,Potamophylax_cingulatus
3.8,11,48,1,laboratory,Potamophylax_cingulatus
3.8,21,48,1,laboratory,Potamophylax_cingulatus
3.8,17,48,1,laboratory,Potamophylax_cingulatus
9.6,1,1,1,laboratory,Potamophylax_cingulatus
9.6,1,2,1,laboratory,Potamophylax_cingulatus
9.6,3,3,1,laboratory,Potamophylax_cingulatus
9.6,3,4,1,laboratory,Potamophylax_cingulatus
9.6,1,8,1,laboratory,Potamophylax_cingulatus
9.6,7,16,1,laboratory,Potamophylax_cingulatus
9.6,11,32,1,laboratory,Potamophylax_cingulatus
9.6,1,1,1,laboratory,Potamophylax_cingulatus
9.6,2,2,1,laboratory,Potamophylax_cingulatus
9.6,1,3,1,laboratory,Potamophylax_cingulatus
9.6,4,4,1,laboratory,Potamophylax_cingulatus
9.6,3,8,1,laboratory,Potamophylax_cingulatus
9.6,6,16,1,laboratory,Potamophylax_cingulatus
9.6,22,32,1,laboratory,Potamophylax_cingulatus
9.6,16,48,1,laboratory,Potamophylax_cingulatus
9.6,26,48,1,laboratory,Potamophylax_cingulatus
5.9,1,2,1,laboratory,Potamophylax_cingulatus
5.9,2,3,1,laboratory,Potamophylax_cingulatus
5.9,3,4,1,laboratory,Potamophylax_cingulatus
5.9,7,8,1,laboratory,Potamophylax_cingulatus
5.9,10,16,1,laboratory,Potamophylax_cingulatus
5.9,1,1,1,laboratory,Potamophylax_cingulatus
5.9,1,2,1,laboratory,Potamophylax_cingulatus
5.9,3,3,1,laboratory,Potamophylax_cingulatus
5.9,6,8,1,laboratory,Potamophylax_cingulatus
5.9,9,16,1,laboratory,Potamophylax_cingulatus
5.9,11,32,1,laboratory,Potamophylax_cingulatus
5.9,1,1,1,laboratory,Potamophylax_cingulatus
5.9,2,2,1,laboratory,Potamophylax_cingulatus
5.9,3,3,1,laboratory,Potamophylax_cingulatus
5.9,3,4,1,laboratory,Potamophylax_cingulatus
5.9,7,8,1,laboratory,Potamophylax_cingulatus
5.9,16,16,1,laboratory,Potamophylax_cingulatus
5.9,32,32,1,laboratory,Potamophylax_cingulatus
5.9,1,1,1,laboratory,Potamophylax_cingulatus
5.9,2,2,1,laboratory,Potamophylax_cingulatus
5.9,1,3,1,laboratory,Potamophylax_cingulatus
5.9,4,4,1,laboratory,Potamophylax_cingulatus
5.9,5,8,1,laboratory,Potamophylax_cingulatus
5.9,14,16,1,laboratory,Potamophylax_cingulatus
5.9,0,1,1,laboratory,Potamophylax_cingulatus
5.9,1,2,1,laboratory,Potamophylax_cingulatus
5.9,2,3,1,laboratory,Potamophylax_cingulatus
5.9,1,4,1,laboratory,Potamophylax_cingulatus
5.9,2,8,1,laboratory,Potamophylax_cingulatus
5.9,6,16,1,laboratory,Potamophylax_cingulatus
5.9,7,32,1,laboratory,Potamophylax_cingulatus
5.9,1,1,1,laboratory,Potamophylax_cingulatus
5.9,2,2,1,laboratory,Potamophylax_cingulatus
5.9,0,3,1,laboratory,Potamophylax_cingulatus
5.9,2,4,1,laboratory,Potamophylax_cingulatus
5.9,7,8,1,laboratory,Potamophylax_cingulatus
5.9,7,16,1,laboratory,Potamophylax_cingulatus
5.9,15,32,1,laboratory,Potamophylax_cingulatus
5.9,1,1,1,laboratory,Potamophylax_cingulatus
5.9,2,2,1,laboratory,Potamophylax_cingulatus
5.9,2,3,1,laboratory,Potamophylax_cingulatus
5.9,4,4,1,laboratory,Potamophylax_cingulatus
5.9,5,8,1,laboratory,Potamophylax_cingulatus
5.9,2,16,1,laboratory,Potamophylax_cingulatus
5.9,10,32,1,laboratory,Potamophylax_cingulatus
17.9,1,1,1,laboratory,Potamophylax_cingulatus
17.9,2,2,1,laboratory,Potamophylax_cingulatus
17.9,0,3,1,laboratory,Potamophylax_cingulatus
17.9,4,4,1,laboratory,Potamophylax_cingulatus
17.9,8,8,1,laboratory,Potamophylax_cingulatus
17.9,12,16,1,laboratory,Potamophylax_cingulatus
17.9,24,32,1,laboratory,Potamophylax_cingulatus
17.9,1,1,1,laboratory,Potamophylax_cingulatus
17.9,1,2,1,laboratory,Potamophylax_cingulatus
17.9,3,3,1,laboratory,Potamophylax_cingulatus
17.9,7,8,1,laboratory,Potamophylax_cingulatus
17.9,10,16,1,laboratory,Potamophylax_cingulatus
17.9,23,32,1,laboratory,Potamophylax_cingulatus
17.9,1,1,1,laboratory,Potamophylax_cingulatus
17.9,2,2,1,laboratory,Potamophylax_cingulatus
17.9,2,3,1,laboratory,Potamophylax_cingulatus
17.9,4,4,1,laboratory,Potamophylax_cingulatus
17.9,4,8,1,laboratory,Potamophylax_cingulatus
17.9,26,32,1,laboratory,Potamophylax_cingulatus
5,1,16,0,field,control
5,1,8,0,field,control
5,0,4,0,field,control
3.8,1,16,0,field,control
3.8,1,8,0,field,control
3.8,0,4,0,field,control
17.9,0,16,0,field,control
17.9,4,8,0,field,control
17.9,1,4,0,field,control
13.3,1,16,0,field,control
13.3,0,8,0,field,control
13.3,1,4,0,field,control
11.4,4,16,0,field,control
11.4,0,2,0,field,control
11.4,0,1,0,field,control
5,3,32,0,field,control
3.8,0,32,0,field,control
17.9,6,32,0,field,control
13.3,1,32,0,field,control
11.4,2,32,0,field,control
3.8,4,48,0,field,control
3.8,0,2,0,field,control
5,4,48,0,field,control
5,0,2,0,field,control
17.9,15,48,0,field,control
17.9,1,2,0,field,control
13.3,8,48,0,field,control
11.4,6,48,0,field,control
11.4,0,2,0,field,control
3.8,1,16,0,field,control
3.8,0,4,0,field,control
5,2,16,0,field,control
5,0,8,0,field,control
5,1,4,0,field,control
17.9,1,8,0,field,control
17.9,1,4,0,field,control
13.3,1,16,0,field,control
13.3,2,8,0,field,control
13.3,0,4,0,field,control
11.4,4,16,0,field,control
11.4,0,8,0,field,control
11.4,0,4,0,field,control
11.4,0,2,0,field,control
3.8,0,1,0,field,control
3.8,0,3,0,field,control
5,1,1,0,field,control
5,0,2,0,field,control
5,0,3,0,field,control
17.9,1,1,0,field,control
17.9,0,2,0,field,control
13.3,1,1,0,field,control
13.3,0,2,0,field,control
13.3,1,3,0,field,control
11.4,5,16,0,field,control
11.4,4,8,0,field,control
17.9,2,16,0,field,control
17.9,3,8,0,field,control
13.3,2,16,0,field,control
13.3,1,8,0,field,control
11.4,0,16,0,field,control
11.4,1,8,0,field,control
3.8,2,16,0,field,control
3.8,2,8,0,field,control
3.8,0,4,0,field,control
3.8,1,3,0,field,control
3.8,1,2,0,field,control
3.8,0,1,0,field,control
5,0,3,0,field,control
5,1,2,0,field,control
5,0,1,0,field,control
17.9,2,3,0,field,control
17.9,0,2,0,field,control
17.9,0,1,0,field,control
13.3,0,3,0,field,control
13.3,0,2,0,field,control
13.3,0,1,0,field,control
11.4,1,3,0,field,control
11.4,0,2,0,field,control
11.4,0,1,0,field,control
5,0,3,0,field,control
5,0,2,0,field,control
3.8,1,3,0,field,control
3.8,0,2,0,field,control
17.9,0,3,0,field,control
17.9,1,2,0,field,control
13.3,1,3,0,field,control
13.3,1,2,0,field,control
11.4,1,3,0,field,control
11.4,2,2,0,field,control
11.4,5,16,1,field,Potamophylax_cingulatus
11.4,1,2,1,field,Potamophylax_cingulatus
11.4,1,1,1,field,Potamophylax_cingulatus
11.4,18,32,1,field,Potamophylax_cingulatus
11.4,23,32,1,field,Potamophylax_cingulatus
11.4,17,32,1,field,Potamophylax_cingulatus
11.4,30,48,1,field,Potamophylax_cingulatus
11.4,21,48,1,field,Potamophylax_cingulatus
11.4,22,48,1,field,Potamophylax_cingulatus
11.4,1,2,1,field,Potamophylax_cingulatus
11.4,9,16,1,field,Potamophylax_cingulatus
11.4,7,8,1,field,Potamophylax_cingulatus
11.4,3,4,1,field,Potamophylax_cingulatus
11.4,1,2,1,field,Potamophylax_cingulatus
11.4,9,16,1,field,Potamophylax_cingulatus
11.4,7,16,1,field,Potamophylax_cingulatus
11.4,4,8,1,field,Potamophylax_cingulatus
11.4,5,8,1,field,Potamophylax_cingulatus
13.3,13,16,1,field,Potamophylax_cingulatus
13.3,4,8,1,field,Potamophylax_cingulatus
13.3,4,4,1,field,Potamophylax_cingulatus
13.3,24,32,1,field,Potamophylax_cingulatus
13.3,15,32,1,field,Potamophylax_cingulatus
13.3,12,32,1,field,Potamophylax_cingulatus
13.3,28,48,1,field,Potamophylax_cingulatus
13.3,34,48,1,field,Potamophylax_cingulatus
13.3,27,48,1,field,Potamophylax_cingulatus
13.3,6,16,1,field,Potamophylax_cingulatus
13.3,6,8,1,field,Potamophylax_cingulatus
13.3,4,4,1,field,Potamophylax_cingulatus
17.9,13,16,1,field,Potamophylax_cingulatus
17.9,8,8,1,field,Potamophylax_cingulatus
17.9,2,4,1,field,Potamophylax_cingulatus
17.9,23,32,1,field,Potamophylax_cingulatus
17.9,25,32,1,field,Potamophylax_cingulatus
17.9,22,48,1,field,Potamophylax_cingulatus
17.9,35,48,1,field,Potamophylax_cingulatus
17.9,2,2,1,field,Potamophylax_cingulatus
17.9,2,2,1,field,Potamophylax_cingulatus
17.9,2,2,1,field,Potamophylax_cingulatus
17.9,11,16,1,field,Potamophylax_cingulatus
17.9,7,8,1,field,Potamophylax_cingulatus
17.9,4,4,1,field,Potamophylax_cingulatus
3.8,14,16,1,field,Potamophylax_cingulatus
3.8,4,8,1,field,Potamophylax_cingulatus
3.8,3,4,1,field,Potamophylax_cingulatus
3.8,14,32,1,field,Potamophylax_cingulatus
3.8,9,32,1,field,Potamophylax_cingulatus
3.8,8,32,1,field,Potamophylax_cingulatus
3.8,32,48,1,field,Potamophylax_cingulatus
3.8,28,48,1,field,Potamophylax_cingulatus
3.8,24,48,1,field,Potamophylax_cingulatus
3.8,2,2,1,field,Potamophylax_cingulatus
3.8,2,2,1,field,Potamophylax_cingulatus
3.8,2,2,1,field,Potamophylax_cingulatus
3.8,9,16,1,field,Potamophylax_cingulatus
3.8,5,8,1,field,Potamophylax_cingulatus
3.8,4,4,1,field,Potamophylax_cingulatus
5,12,16,1,field,Potamophylax_cingulatus
5,6,8,1,field,Potamophylax_cingulatus
5,4,4,1,field,Potamophylax_cingulatus
5,12,32,1,field,Potamophylax_cingulatus
5,16,32,1,field,Potamophylax_cingulatus
5,10,32,1,field,Potamophylax_cingulatus
5,17,48,1,field,Potamophylax_cingulatus
5,22,48,1,field,Potamophylax_cingulatus
5,18,48,1,field,Potamophylax_cingulatus
5,1,2,1,field,Potamophylax_cingulatus
5,2,2,1,field,Potamophylax_cingulatus
5,1,2,1,field,Potamophylax_cingulatus
5,8,16,1,field,Potamophylax_cingulatus
5,1,8,1,field,Potamophylax_cingulatus
5,0,4,1,field,Potamophylax_cingulatus
