experimental.temperature,eaten.prey,initial.prey,predator.number,setting,treatment
9.6,3,8,1,laboratory,Limnophora_riparia
9.6,1,16,1,laboratory,Limnophora_riparia
9.6,1,1,1,laboratory,Limnophora_riparia
9.6,1,2,1,laboratory,Limnophora_riparia
9.6,2,3,1,laboratory,Limnophora_riparia
9.6,2,4,1,laboratory,Limnophora_riparia
9.6,1,8,1,laboratory,Limnophora_riparia
9.6,6,16,1,laboratory,Limnophora_riparia
9.6,3,8,1,laboratory,Limnophora_riparia
9.6,7,16,1,laboratory,Limnophora_riparia
5.9,0,1,1,laboratory,Limnophora_riparia
5.9,0,2,1,laboratory,Limnophora_riparia
5.9,0,3,1,laboratory,Limnophora_riparia
5.9,1,4,1,laboratory,Limnophora_riparia
5.9,4,8,1,laboratory,Limnophora_riparia
5.9,2,16,1,laboratory,Limnophora_riparia
5.9,1,1,1,laboratory,Limnophora_riparia
5.9,1,2,1,laboratory,Limnophora_riparia
5.9,0,3,1,laboratory,Limnophora_riparia
5.9,1,4,1,laboratory,Limnophora_riparia
5.9,1,8,1,laboratory,Limnophora_riparia
5.9,4,16,1,laboratory,Limnophora_riparia
5.9,1,1,1,laboratory,Limnophora_riparia
5.9,2,2,1,laboratory,Limnophora_riparia
5.9,3,3,1,laboratory,Limnophora_riparia
5.9,3,4,1,laboratory,Limnophora_riparia
5.9,5,8,1,laboratory,Limnophora_riparia
5.9,11,16,1,laboratory,Limnophora_riparia
5.9,0,1,1,laboratory,Limnophora_riparia
5.9,1,2,1,laboratory,Limnophora_riparia
5.9,1,3,1,laboratory,Limnophora_riparia
5.9,1,4,1,laboratory,Limnophora_riparia
5.9,2,8,1,laboratory,Limnophora_riparia
5.9,7,16,1,laboratory,Limnophora_riparia
5.9,0,1,1,laboratory,Limnophora_riparia
5.9,1,2,1,laboratory,Limnophora_riparia
5.9,0,3,1,laboratory,Limnophora_riparia
5.9,2,4,1,laboratory,Limnophora_riparia
5.9,1,8,1,laboratory,Limnophora_riparia
5.9,4,16,1,laboratory,Limnophora_riparia
17.9,2,2,1,laboratory,Limnophora_riparia
17.9,3,3,1,laboratory,Limnophora_riparia
17.9,2,4,1,laboratory,Limnophora_riparia
17.9,8,8,1,laboratory,Limnophora_riparia
17.9,14,16,1,laboratory,Limnophora_riparia
17.9,1,1,1,laboratory,Limnophora_riparia
17.9,1,2,1,laboratory,Limnophora_riparia
17.9,3,4,1,laboratory,Limnophora_riparia
17.9,5,8,1,laboratory,Limnophora_riparia
17.9,13,16,1,laboratory,Limnophora_riparia
5,1,16,0,field,control
5,0,4,0,field,control
3.8,1,16,0,field,control
3.8,1,8,0,field,control
3.8,0,4,0,field,control
17.9,0,16,0,field,control
17.9,4,8,0,field,control
17.9,1,4,0,field,control
13.3,1,16,0,field,control
13.3,0,8,0,field,control
13.3,1,4,0,field,control
11.4,0,2,0,field,control
11.4,0,1,0,field,control
3.8,0,2,0,field,control
5,0,2,0,field,control
17.9,1,2,0,field,control
11.4,0,2,0,field,control
3.8,1,16,0,field,control
3.8,3,8,0,field,control
3.8,0,4,0,field,control
5,2,16,0,field,control
5,1,4,0,field,control
17.9,5,16,0,field,control
17.9,1,8,0,field,control
17.9,1,4,0,field,control
13.3,1,16,0,field,control
13.3,2,8,0,field,control
13.3,0,4,0,field,control
11.4,0,4,0,field,control
11.4,0,2,0,field,control
3.8,0,1,0,field,control
3.8,0,3,0,field,control
5,1,1,0,field,control
5,0,2,0,field,control
5,0,3,0,field,control
17.9,1,1,0,field,control
17.9,0,2,0,field,control
13.3,1,1,0,field,control
13.3,0,2,0,field,control
13.3,1,3,0,field,control
17.9,2,16,0,field,control
17.9,3,8,0,field,control
13.3,2,16,0,field,control
13.3,1,8,0,field,control
3.8,2,16,0,field,control
3.8,2,8,0,field,control
3.8,0,4,0,field,control
3.8,1,3,0,field,control
3.8,1,2,0,field,control
3.8,0,1,0,field,control
5,0,3,0,field,control
5,1,2,0,field,control
5,0,1,0,field,control
17.9,2,3,0,field,control
17.9,0,2,0,field,control
17.9,0,1,0,field,control
13.3,0,3,0,field,control
13.3,0,2,0,field,control
13.3,0,1,0,field,control
11.4,1,3,0,field,control
11.4,0,2,0,field,control
11.4,0,1,0,field,control
5,0,3,0,field,control
5,0,2,0,field,control
3.8,1,3,0,field,control
3.8,0,2,0,field,control
17.9,0,3,0,field,control
17.9,1,2,0,field,control
13.3,1,3,0,field,control
13.3,1,2,0,field,control
11.4,1,3,0,field,control
11.4,2,2,0,field,control
5,2,16,1,field,Limnophora_riparia
5,0,4,1,field,Limnophora_riparia
3.8,3,16,1,field,Limnophora_riparia
3.8,2,8,1,field,Limnophora_riparia
3.8,3,4,1,field,Limnophora_riparia
17.9,9,16,1,field,Limnophora_riparia
17.9,5,8,1,field,Limnophora_riparia
13.3,4,16,1,field,Limnophora_riparia
13.3,1,4,1,field,Limnophora_riparia
11.4,2,2,1,field,Limnophora_riparia
11.4,1,1,1,field,Limnophora_riparia
3.8,2,16,1,field,Limnophora_riparia
3.8,2,8,1,field,Limnophora_riparia
3.8,2,4,1,field,Limnophora_riparia
5,3,16,1,field,Limnophora_riparia
3.8,0,1,1,field,Limnophora_riparia
3.8,2,3,1,field,Limnophora_riparia
5,0,1,1,field,Limnophora_riparia
5,1,2,1,field,Limnophora_riparia
5,1,3,1,field,Limnophora_riparia
17.9,8,16,1,field,Limnophora_riparia
17.9,4,16,1,field,Limnophora_riparia
17.9,8,16,1,field,Limnophora_riparia
17.9,2,8,1,field,Limnophora_riparia
17.9,4,8,1,field,Limnophora_riparia
13.3,3,16,1,field,Limnophora_riparia
13.3,7,16,1,field,Limnophora_riparia
13.3,4,16,1,field,Limnophora_riparia
13.3,4,8,1,field,Limnophora_riparia
13.3,3,8,1,field,Limnophora_riparia
13.3,3,8,1,field,Limnophora_riparia
3.8,5,16,1,field,Limnophora_riparia
3.8,2,8,1,field,Limnophora_riparia
3.8,2,4,1,field,Limnophora_riparia
3.8,1,3,1,field,Limnophora_riparia
3.8,0,2,1,field,Limnophora_riparia
3.8,1,1,1,field,Limnophora_riparia
5,1,3,1,field,Limnophora_riparia
5,1,2,1,field,Limnophora_riparia
5,1,2,1,field,Limnophora_riparia
5,0,1,1,field,Limnophora_riparia
17.9,0,1,1,field,Limnophora_riparia
13.3,0,3,1,field,Limnophora_riparia
13.3,0,2,1,field,Limnophora_riparia
13.3,0,1,1,field,Limnophora_riparia
11.4,0,3,1,field,Limnophora_riparia
11.4,0,2,1,field,Limnophora_riparia
11.4,0,1,1,field,Limnophora_riparia
5,1,3,1,field,Limnophora_riparia
5,0,2,1,field,Limnophora_riparia
5,0,2,1,field,Limnophora_riparia
3.8,1,3,1,field,Limnophora_riparia
3.8,2,2,1,field,Limnophora_riparia
3.8,1,2,1,field,Limnophora_riparia
17.9,2,3,1,field,Limnophora_riparia
17.9,2,3,1,field,Limnophora_riparia
17.9,2,2,1,field,Limnophora_riparia
17.9,2,2,1,field,Limnophora_riparia
13.3,2,3,1,field,Limnophora_riparia
13.3,1,2,1,field,Limnophora_riparia
13.3,1,2,1,field,Limnophora_riparia
11.4,0,3,1,field,Limnophora_riparia
11.4,1,3,1,field,Limnophora_riparia
11.4,2,2,1,field,Limnophora_riparia
11.4,1,2,1,field,Limnophora_riparia
